ESTBAN (Documento 4500) por municipio 
Data de geracao dos dados: 2022-04-01
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202108;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1265662;1265662;0;0;0;0;0;-4910442;53053;0;268;;-4963763;18627995;14797322;45207;0;0;0;0;0;4987752;111827;0;0;-1314114;0;0;0;145446;0;49476901;64605562;2646395;11758909;73565;0;73565;0;62463;0;0;62463;0;0;0;0;35370;35370;0;144370;0;407589;552426;-144837;49476901;64605562;1200344
202108;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;1107081;1107081;0;0;0;0;0;-4406394;72361;0;0;;-4478755;9474524;9589864;40049;0;0;0;0;0;365935;0;0;-14;-521310;0;0;0;0;0;23614253;29789464;1009363;4871307;26884;0;26884;0;24074;200;0;23874;0;0;0;0;10098;10098;0;84673;0;148813;322392;-173579;23614253;29789464;1200054
202108;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;956613;956613;0;0;0;0;0;-19757930;88143;0;0;;-19846073;37484128;24634751;59065;0;0;0;0;0;14283075;144399;0;-1207;-1635956;0;0;0;191494;0;71255755;90130059;1319180;15266101;1632878;0;1632878;0;44856;490;0;44366;0;0;0;0;39660;39659;0;718;0;570911;1011551;-440640;71255755;90130059;1200302
202108;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;502218;502218;0;0;0;0;0;8286673;0;0;8286673;;0;4364533;3899464;0;391943;0;0;0;0;0;0;73126;0;0;0;0;0;0;0;65484828;78638252;5563294;6990167;348697;0;348697;0;47418;0;0;47418;0;0;0;0;1012;1012;0;46476;0;156360;240051;-83692;65484828;78638252;1200302
202108;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;413703;413703;0;0;0;0;0;13897700;0;0;13892125;;5575;7919237;4793917;251547;2827998;0;0;0;0;0;0;45774;0;0;0;0;0;0;0;79566900;101797539;14073231;6339192;257624;0;257624;0;24677;0;0;24677;0;0;0;0;134;134;0;1367834;0;167946;214795;-46849;79566900;101797539;1200708
202108;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;4981078;4981078;0;0;0;0;0;2444108;27324;0;2416784;;0;136127721;77938484;2265236;44804479;0;0;0;0;1810042;0;9309480;0;0;0;0;0;18053;0;47710093;191281054;12510531;29275966;9073327;0;9073327;0;88119142;0;0;88119142;0;0;0;0;195013;195013;0;903835;0;3493147;4137661;-644514;47710093;191281054;1200609
202108;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2768409;2768409;0;0;0;0;0;-46998850;137148;0;0;;-47135998;69527179;49858277;0;0;0;0;0;0;21783975;1163351;0;-442;-3277982;0;0;0;676682;0;127973939;153947359;3063584;19674687;1434699;0;1434699;0;96400;1190;0;95210;0;0;0;0;50903;50903;0;331063;0;1322086;1841911;-519825;127973939;153947359;1200609
202108;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;250116;250116;0;0;0;0;0;5572739;0;0;5572381;;358;6266164;4183797;0;2003122;0;0;0;0;0;0;79245;0;0;0;0;0;0;0;66760355;78849374;3559018;8103026;218598;0;218598;0;42473;0;0;42473;0;0;0;0;31077;31077;0;7130;0;127697;185926;-58229;66760355;78849374;1200609
202108;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;2542112;2542112;0;0;0;0;123731;2283126;15773;0;2267353;;0;115731279;42943212;1352325;64135873;0;0;0;0;1536370;93245;5670255;0;0;0;0;0;11888;0;31026224;151718359;17690950;21416188;20140775;0;20140775;0;58402164;0;0;58402164;0;0;0;2;49193;49194;0;835248;0;2157615;2638553;-480938;31026224;151718359;1200500
202108;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2344051;2344051;0;0;0;0;0;-20136670;115831;0;375;;-20252876;60179676;30186980;78877;1622;0;0;0;0;31551835;283793;0;-2560;-1920871;0;0;0;3781245;0;221597275;267765578;3628728;40249353;1106421;0;1106421;0;241942;2980;0;238962;0;0;0;0;24510;24510;0;1720;0;915628;1488977;-573349;221597275;267765578;1200500
202108;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;257847;257847;0;0;0;0;0;13148613;0;0;13148613;;0;11496226;7396233;0;3916671;0;0;0;0;0;0;183322;0;0;0;0;0;0;0;115538231;140440917;10793552;13586281;62156;0;62156;0;329142;0;0;329142;0;0;0;0;96;96;0;10146;0;121313;217866;-96554;115538231;140440917;1200500
202108;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1125242;1125242;0;0;0;0;0;534861;429;0;534433;;0;75713060;22869173;358138;49583531;0;0;0;0;313324;0;2588894;0;0;0;0;0;5944;0;17132795;94511903;5196111;14535820;3594917;0;3594917;0;52112708;0;0;52112708;0;0;0;0;63819;63819;0;428017;0;1447715;1662267;-214551;17132795;94511903;1200385
202108;AC;29988;PLACIDO DE CASTRO;04902979;BCO DA AMAZONIA S.A.;1;1;318374;318374;0;0;0;0;0;0;0;0;0;;0;11452506;8291357;0;3101051;0;0;0;0;0;0;60098;0;0;0;0;0;0;0;106808715;118579596;6007772;1375301;3178;0;3178;0;4150028;0;0;4150028;0;0;0;0;4746;4746;0;12360;0;217494;245310;-27817;106808715;118579596;1200385
202108;AC;33730;SENADOR GUIOMARD;00000000;BCO DO BRASIL S.A.;1;1;1027141;1027141;0;0;0;0;188592;820259;10521;0;809738;;0;98346270;32584933;839739;59385803;0;0;0;0;800929;0;4734867;0;0;0;0;0;5944;0;27526833;127915039;8881563;19659094;10278841;0;10278841;0;59005056;0;0;59005056;0;0;0;0;150997;150998;0;577554;0;1835100;2174589;-339489;27526833;127915039;1200450
202108;AC;33730;SENADOR GUIOMARD;00360305;CAIXA ECONOMICA FEDERAL;1;1;1938001;1938001;0;0;0;0;0;-16632264;0;0;535000;;-17167264;39019290;24586563;124968;0;0;0;0;0;15829252;0;0;-426;-1521068;0;0;0;381615;0;101405669;126112311;2273521;19186414;792546;0;792546;0;143951;1140;0;142811;0;0;0;0;32088;32088;0;1710761;0;567361;1264876;-697515;101405669;126112311;1200450
202108;AC;35680;CRUZEIRO DO SUL;00000000;BCO DO BRASIL S.A.;1;1;5892816;5892816;0;0;0;0;0;4428563;34101;0;4394463;;0;270144116;215777877;8703843;6569063;0;0;0;0;5371445;33417;33688470;0;0;0;0;0;37982;0;111775267;392278744;46497222;95910532;16229616;0;16229616;0;106625794;0;0;106625794;0;0;0;0;491493;491492;0;5673966;0;9074854;10458513;-1383658;111775267;392278744;1200203
202108;AC;35680;CRUZEIRO DO SUL;00360305;CAIXA ECONOMICA FEDERAL;1;1;5001989;5001989;0;0;0;0;0;-94804907;438350;0;0;;-95243257;194717034;134429859;68886;54458;0;0;0;0;68783843;853721;0;-272;-9473460;0;0;0;3747400;0;485485177;594146693;6068391;96523470;3423312;0;3423312;0;385473;3490;0;381983;0;0;0;0;159304;159304;0;5306;0;2096260;4949242;-2852982;485485177;594146693;1200203
202108;AC;35680;CRUZEIRO DO SUL;04902979;BCO DA AMAZONIA S.A.;1;1;653997;653997;0;0;0;0;0;379;0;0;0;;379;19713132;11450095;1419245;6819111;0;0;0;0;0;0;24682;0;0;0;0;0;0;0;190070318;210437826;11253093;7845967;142558;0;142558;0;697297;0;0;697297;0;0;0;0;2869;2869;0;14278;0;411447;486306;-74859;190070318;210437826;1200203
202108;AC;35680;CRUZEIRO DO SUL;60746948;BCO BRADESCO S.A.;1;1;3895300;3895300;0;0;0;0;0;45961404;0;0;45960388;;1016;3130695;2279010;0;0;0;0;0;0;0;0;851685;0;0;0;0;0;0;0;48598570;101585968;10470674;23419045;10354848;0;10354848;0;6659597;0;0;6659597;0;0;0;0;0;0;0;1065193;0;1018042;1515684;-497642;48598570;101585968;1200203
202108;AC;35697;BRASILEIA;00000000;BCO DO BRASIL S.A.;1;1;2852514;2852514;0;0;0;0;0;680130;0;0;680130;;0;105432503;25864566;698008;73541413;0;0;0;0;432026;0;4896491;0;0;0;0;0;11888;0;19614226;128591261;8040396;20092100;763712;0;763712;0;77913678;0;0;77913678;0;0;0;0;108777;108778;0;474368;0;1584004;1993448;-409444;19614226;128591261;1200104
202108;AC;35697;BRASILEIA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1783347;1783347;0;0;0;0;0;-21068071;10131;0;150;;-21078352;47642436;36159092;76210;0;0;0;0;0;14593367;139172;0;-728;-3324677;0;0;0;1137526;0;136154840;165650079;1729353;22417119;4092913;0;4092913;0;165327;590;0;164737;0;0;0;0;47781;47781;0;2470;0;1040275;1382305;-342030;136154840;165650079;1200104
202108;AC;35697;BRASILEIA;04902979;BCO DA AMAZONIA S.A.;1;1;179327;179327;0;0;0;0;0;6393210;0;0;6393210;;0;8967531;8053975;565850;324073;0;0;0;0;0;0;23633;0;0;0;0;0;0;0;129366084;144906152;7824237;7302337;112790;0;112790;0;93222;0;0;93222;0;0;0;0;9379;9379;0;21950;0;176151;237854;-61704;129366084;144906152;1200104
202108;AC;35697;BRASILEIA;60746948;BCO BRADESCO S.A.;1;1;2688605;2688605;0;0;0;0;0;7901332;0;0;7897830;;3502;1499571;715849;0;763279;0;0;0;0;0;0;20443;0;0;0;0;0;0;0;9953225;22042734;1176426;4783416;5065766;0;5065766;0;2600;0;0;2599;0;0;0;0;0;0;0;802421;0;258880;364885;-106006;9953225;22042734;1200104
202108;AC;38955;RIO BRANCO;00000000;BCO DO BRASIL S.A.;9;9;17828104;15710014;2118090;0;0;0;32295990;1051577264;55472;0;1051521792;;0;1834045863;1033237233;136674120;397750210;0;0;0;233095;49130452;477085;216543668;0;0;0;0;0;326508;47976988;1640885234;4624935951;263360959;488708943;1178741706;0;1178741706;0;985647348;0;0;985647348;0;1265923;1265923;328;12048975;12048975;0;15072397;0;39204137;58417567;-19213430;1640885234;4624935951;1200401
202108;AC;38955;RIO BRANCO;00360305;CAIXA ECONOMICA FEDERAL;4;4;9374069;9374069;0;0;0;0;0;-762803512;97632;0;982;;-762902126;1507123040;543888023;1615080;877539;0;0;0;0;1002576432;6661791;0;-5284;-48490542;0;0;0;6785352;0;3617867619;4378346567;60052377;447829546;179464525;0;179464525;0;2485526;120770;0;2364757;0;0;0;0;2473218;2473217;0;48336469;0;19837288;31005514;-11168226;3617867619;4378346567;1200401
202108;AC;38955;RIO BRANCO;04902979;BCO DA AMAZONIA S.A.;2;2;1637001;1637001;0;0;0;0;0;0;0;0;0;;0;140519725;42281436;24591578;73392578;0;0;0;0;0;0;254132;0;0;0;0;0;0;0;861460486;1003617213;42079505;12771967;1288999;0;1288999;0;82634088;0;0;82634087;0;0;0;0;6921;6920;0;740176;0;2635071;2823722;-188651;861460486;1003617213;1200401
202108;AC;38955;RIO BRANCO;60701190;ITAÚ UNIBANCO S.A.;3;3;1894345;1894345;0;0;0;0;0;53021479;0;0;53021479;;0;49707194;44031016;6044947;0;0;0;0;0;0;0;0;0;-368769;0;0;0;0;3683;69567037;174193737;6023974;47933082;48458502;0;48458502;0;68199;0;0;68199;0;0;0;0;683;683;0;23924;0;2118337;3534570;-1416233;69567037;174193737;1200401
202108;AC;38955;RIO BRANCO;60746948;BCO BRADESCO S.A.;3;3;9274080;9274080;0;0;0;0;0;286851346;0;0;285387649;;1463697;23554818;11456120;0;11561040;0;0;0;0;0;0;537659;0;0;0;0;0;0;0;153554307;473234552;35861315;73034856;190297100;0;190297100;0;7481128;0;0;7481128;0;0;0;0;0;0;0;9965800;0;3040048;3846442;-806394;153554307;473234552;1200401
202108;AC;38955;RIO BRANCO;90400888;BCO SANTANDER (BRASIL) S.A.;2;2;1751838;1751838;0;0;0;0;0;7397762;0;0;0;;7397762;178101528;174130418;22575302;8516937;0;0;0;0;0;0;704013;0;-27825141;0;0;0;0;0;5030680643;5217931772;8484763;17717877;83061754;0;83061754;0;70844205;0;0;70844205;0;0;0;0;94953;94953;0;2511356;0;4536221;8410057;-3873836;5030680643;5217931772;1200401
202108;AC;50830;ACRELANDIA;00000000;BCO DO BRASIL S.A.;1;1;1495380;1495380;0;0;0;0;449014;508892;0;0;508892;;0;120687166;21253531;514012;96366488;0;0;0;0;108847;0;2444287;0;0;0;0;0;5799;0;19404216;142550467;6550726;23358659;3304033;0;3304033;0;87882971;0;0;87882971;0;0;0;0;59022;59021;0;286396;0;1704444;1977795;-273351;19404216;142550467;1200013
202108;AC;50847;PORTO ACRE;00360305;CAIXA ECONOMICA FEDERAL;1;1;1171842;1171842;0;0;0;0;0;-12197666;0;0;0;;-12197666;26265326;19155964;33684;0;0;0;0;0;7717852;86945;0;-32;-729087;0;0;0;0;0;58464286;73703787;1587933;13027503;11933;0;11933;0;79637;320;0;79317;0;0;0;0;19292;19292;0;54940;0;458264;653291;-195027;58464286;73703787;1200807
202108;AC;50919;BUJARI;00360305;CAIXA ECONOMICA FEDERAL;1;1;856199;856199;0;0;0;0;0;-22024462;92296;0;0;;-22116758;32870783;17241767;95415;0;0;0;0;0;16349071;219453;0;-92;-1034831;0;0;0;135586;0;63184256;75022362;666479;9425234;73020;0;73020;0;81340;1590;0;79750;0;0;0;0;20631;20632;0;945725;0;625678;836198;-210521;63184256;75022362;1200138
202108;AC;50964;EPITACIOLANDIA;00000000;BCO DO BRASIL S.A.;1;1;5525691;5525691;0;0;0;0;268723;2342512;14911;0;2327601;;0;134962444;48064318;1082896;78023545;0;0;0;0;416162;0;7375522;0;0;0;0;0;15437;0;44699598;187814405;19988922;46362395;10906644;0;10906644;0;61738057;0;0;61738058;0;0;0;0;393379;393378;0;1247209;0;2478201;3148827;-670627;44699598;187814405;1200252
202108;AL;1016;MARIBONDO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1450268;1450268;0;0;0;0;0;825882;293201;0;1107;;531574;54120240;19709046;81555;0;0;0;0;0;30606864;188220;6475420;-1098;-2939766;0;0;0;701436;0;146110884;203208711;6489787;49767691;68062;0;68062;0;138250;460;0;137790;0;0;0;0;10606;10606;0;661;0;622770;1319140;-696370;146110884;203208711;2704807
202108;AL;1700;SAO JOSE DA TAPERA;00000000;BCO DO BRASIL S.A.;1;1;3801598;3801598;0;0;0;0;0;11477299;37738;0;11439561;;0;57934058;39876855;838402;11032699;0;0;0;0;1853330;0;4332773;0;0;0;0;0;19318;0;38103355;111335629;9606569;34917828;6653631;0;6653631;0;19622497;0;0;19622496;0;0;0;0;176466;176466;0;1376363;0;878921;2222752;-1343832;38103355;111335629;2708402
202108;AL;1700;SAO JOSE DA TAPERA;60746948;BCO BRADESCO S.A.;1;1;1457536;1457536;0;0;0;0;0;10180164;0;0;10056021;;124143;554990;554990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8432139;20624829;741106;4094850;5724008;0;5724008;0;1109590;0;0;1109590;0;0;0;0;0;0;0;21001;0;502136;595661;-93525;8432139;20624829;2708402
202108;AL;2730;IGACI;00000000;BCO DO BRASIL S.A.;1;1;120313;120313;0;0;0;0;0;551547;22210;0;529337;;0;31677299;16016789;162302;9710568;0;0;0;0;4065006;0;1722634;0;0;0;0;0;8916;0;8713868;41071943;4931205;16285359;1573446;0;1573446;0;8169877;0;0;8169878;0;0;0;0;29260;29260;0;467751;0;901177;1124753;-223576;8713868;41071943;2703106
202108;AL;3210;OLHO D'AGUA DAS FLORES;00360305;CAIXA ECONOMICA FEDERAL;1;1;1791693;1791693;0;0;0;0;0;-21610253;749813;0;1416;;-22361482;55725844;42313952;14022;0;0;0;0;0;15431331;112299;0;-483;-2145278;0;0;0;216864;0;122540703;158664852;3500396;31406861;188283;0;188283;0;93928;1430;0;92498;0;0;0;0;32623;32623;0;3216;0;898841;1431736;-532896;122540703;158664852;2705705
202108;AL;3210;OLHO D'AGUA DAS FLORES;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;143168;143168;0;0;0;0;0;2750;0;0;0;;2750;24330039;24053124;159535;0;0;0;0;0;0;0;117379;0;0;0;0;0;0;0;120891793;145367750;1691123;212838;231498;0;231498;0;21063374;0;0;21063375;0;0;0;0;3259;3259;0;371228;0;902637;1361320;-458683;120891793;145367750;2705705
202108;AL;3423;UNIAO DOS PALMARES;00000000;BCO DO BRASIL S.A.;1;1;1752120;1752120;0;0;0;0;236497;21269464;14002;0;21255462;;0;37973677;19842921;642684;12274251;0;0;0;0;388815;0;4825006;0;0;0;0;0;16921;0;27921069;89169748;4422997;32294025;11117941;0;11117941;0;12228410;0;0;12228410;0;0;0;392;176651;176650;0;278935;0;729330;1304376;-575047;27921069;89169748;2709301
202108;AL;3423;UNIAO DOS PALMARES;00360305;CAIXA ECONOMICA FEDERAL;1;1;3146022;3146022;0;0;0;0;0;2750867;1008122;0;0;;1742745;132098701;64884300;117130;856602;0;0;0;0;21509627;389237;47907589;-5161;-3560623;0;0;0;703336;0;341573478;480272404;5857202;118338291;12591976;0;12591976;0;239989;2270;0;237719;0;0;0;0;110096;110096;0;3229;0;1558143;2991968;-1433825;341573478;480272404;2709301
202108;AL;3423;UNIAO DOS PALMARES;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;877861;877861;0;0;0;0;0;6875;0;0;0;;6875;16140080;10519373;262324;5186194;0;0;0;0;0;0;172190;0;0;0;0;0;6176;0;176388536;193419528;4873066;3811041;1043309;0;1043309;0;6892860;0;0;6892860;0;0;0;0;3397;3397;0;84257;0;323062;805245;-482183;176388536;193419528;2709301
202108;AL;3423;UNIAO DOS PALMARES;60746948;BCO BRADESCO S.A.;1;1;5494484;5494484;0;0;0;0;0;25377800;0;0;25377800;;0;1798754;1245734;0;384014;0;0;0;0;0;0;169005;0;0;0;0;0;0;0;29319977;61991014;3196911;12969732;9128181;0;9128181;0;5026865;0;0;5026865;0;0;0;0;0;0;0;1642801;0;706547;884658;-178111;29319977;61991014;2709301
202108;AL;4491;ATALAIA;00000000;BCO DO BRASIL S.A.;1;1;1752255;1752255;0;0;0;0;607415;11270184;26292;0;11243891;;0;47226091;17845031;691611;14802878;0;0;0;0;8386156;0;5500416;0;0;0;0;0;14860;0;32000547;92871352;6826095;36055340;13904659;0;13904659;0;2613146;0;0;2613146;0;0;0;0;94643;94644;0;307415;0;1069508;1556484;-486976;32000547;92871352;2700409
202108;AL;4491;ATALAIA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1626738;1626738;0;0;0;0;0;-36668906;147324;0;0;;-36816230;63717014;32363555;63618;0;0;0;0;0;34728442;297856;0;-166;-3736291;0;0;0;900481;0;120727328;150302654;5794635;20694685;1392972;0;1392972;0;122676;50;0;122626;0;0;0;0;23175;23175;0;478833;0;1068352;1593534;-525183;120727328;150302654;2700409
202108;AL;4491;ATALAIA;60746948;BCO BRADESCO S.A.;1;1;2923352;2923352;0;0;0;0;0;8175282;0;0;8060965;;114317;700572;603868;0;89547;0;0;0;0;0;0;7158;0;0;0;0;0;0;0;8609477;20408683;1163071;4083953;4738101;0;4738101;0;1486933;0;0;1486933;0;0;0;0;0;0;0;22683;0;304466;395170;-90705;8609477;20408683;2700409
202108;AL;7326;SAO LUIS DO QUITUNDE;00000000;BCO DO BRASIL S.A.;1;1;2938340;2938340;0;0;0;0;0;9848818;48160;0;9800657;;0;50759055;31596163;686042;5647926;0;0;0;0;4415907;0;8413017;0;0;0;0;0;18841;0;27071889;90636942;8943603;36388876;10977782;0;10977782;0;3984402;0;0;3984402;0;0;0;9;58926;58927;0;1388716;0;1822740;2400184;-577444;27071889;90636942;2708501
202108;AL;7326;SAO LUIS DO QUITUNDE;60746948;BCO BRADESCO S.A.;1;1;3098942;3098942;0;0;0;0;0;12023360;0;0;12023360;;0;2424166;2074545;0;0;0;0;0;0;0;0;349622;0;0;0;0;0;0;0;19031236;36577705;1632828;9273761;5370366;0;5370366;0;19;0;0;19;0;0;0;0;0;0;0;620425;0;649071;780145;-131074;19031236;36577705;2708501
202108;AL;7591;CAPELA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2397736;2397736;0;0;0;0;0;1378465;465069;0;0;;913396;56195445;34195911;44608;0;0;0;0;0;13323869;181886;10636696;-4103;-2183422;0;0;0;64149;0;146353105;206388901;8102743;50547900;389850;0;389850;0;132524;1930;0;130594;0;0;0;0;48167;48166;0;0;0;814612;1462253;-647641;146353105;206388901;2701704
202108;AL;8026;PENEDO;00000000;BCO DO BRASIL S.A.;1;1;2457317;2457317;0;0;0;0;0;2414008;96774;0;2317234;;0;152525323;55388772;1716749;18705730;0;0;0;79161;12399750;198697;64036463;0;0;0;0;0;23875;0;57769946;215190469;11794240;54127678;75153185;0;75153185;0;13245694;0;0;13245693;0;0;0;0;103054;103055;0;589775;0;2406897;3449622;-1042726;57769946;215190469;2706703
